ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment
ProtoGermanic-273_sebun-1,,ProtoGermanic,273_sebun,*sebun,sebun,s e b u n,,,50,,,,s e b u n
German-273_sebun-1,,German,273_sebun,sieben,ziːbən,z iː b ə n,,,50,,,,z iː b ə n
English-273_sebun-1,,English,273_sebun,seven,sɛvṇ,s ɛ v ə n,,,50,,,,s ɛ v ə n
Dutch-273_sebun-1,,Dutch,273_sebun,zeven,zeːvə,z eː v ə,,,50,,,,z eː v ə -
ProtoGermanic-318_spennilo-1,,ProtoGermanic,318_spennilo,*spennilō,spenniloː,s p e nː i l oː,,,51,,,,s p e nː - i l ( oː )
German-318_spennilo-1,,German,318_spennilo,Spindel,ʃpɪndəl,ʃ p ɪ n d ə l,,,51,,,,ʃ p ɪ n d ə l ( - )
English-318_spennilo-1,,English,318_spennilo,spindle,spɪndḷ,s p ɪ n d ə l,,,51,,,,s p ɪ n d ə l ( - )
Dutch-318_spennilo-1,,Dutch,318_spennilo,spil,spɪl,s p ɪ l,,,51,,,,s p ɪ - - - l ( - )
ProtoGermanic-485_xrabnaz-1,,ProtoGermanic,485_xrabnaz,*xrabnaz,xrabnaz,x r a b n a z,,,52,,,,x r a b - n ( a z )
German-485_xrabnaz-1,,German,485_xrabnaz,Rabe,raːbə,r aː b ə,,,52,,,,- r aː b ə - ( - - )
English-485_xrabnaz-1,,English,485_xrabnaz,raven,rævṇ,r æ v ə n,,,52,,,,- r æ v ə n ( - - )
Dutch-485_xrabnaz-1,,Dutch,485_xrabnaz,raaf,raːf,r aː f,,,52,,,,- r aː f - - ( - - )
ProtoGermanic-448_xailjanan-1,,ProtoGermanic,448_xailjanan,*xailjanan,xailjanan,x ai l j a n a n,,,53,,,,x ai l j a n ( a n )
German-448_xailjanan-1,,German,448_xailjanan,heilen,hailən,h ai l ə n,,,53,,,,h ai l - ə n ( - - )
English-448_xailjanan-1,,English,448_xailjanan,heal,hiːl,h iː l,,,53,,,,h iː l - - - ( - - )
Dutch-448_xailjanan-1,,Dutch,448_xailjanan,helen,heːlə,h eː l ə,,,53,,,,h eː l - ə - ( - - )
ProtoGermanic-130_kalbaz-1,,ProtoGermanic,130_kalbaz,*kalbaz,kalbaz,k a l b a z,,,54,,,,k a l b ( a z )
German-130_kalbaz-1,,German,130_kalbaz,Kalb,kalp,k a l p,,,54,,,,k a l b ( - - )
English-130_kalbaz-1,,English,130_kalbaz,calf,kɑːf,k ɑː f,,,54,,,,k ɑː - f ( - - )
Dutch-130_kalbaz-1,,Dutch,130_kalbaz,kalf,kɑlf,k ɑ l f,,,54,,,,k ɑ l f ( - - )
ProtoGermanic-421_widuwon-1,,ProtoGermanic,421_widuwon,*widuwōn,widuwoːn,w i d u w oː n,,,55,,,,w i d u w oː ( n )
German-421_widuwon-1,,German,421_widuwon,Witwe,vɪtvə,v ɪ t v ə,,,55,,,,v ɪ t - v ə ( - )
English-421_widuwon-1,,English,421_widuwon,widow,ʋɪdəʊ,ʋ ɪ d əʊ,,,55,,,,ʋ ɪ d əʊ - - ( - )
Dutch-421_widuwon-1,,Dutch,421_widuwon,weduwe,ʋeːdyːʋə,ʋ eː d yː ʋ ə,,,55,,,,ʋ eː d yː ʋ ə ( - )
ProtoGermanic-108_gangaz-1,,ProtoGermanic,108_gangaz,*gangaz,gangaz,g a n g a z,,,56,,,,g a n g ( a z )
German-108_gangaz-1,,German,108_gangaz,Gang,ɡaŋ,ɡ a ŋ,,,56,,,,ɡ a ŋ - ( - - )
English-108_gangaz-1,,English,108_gangaz,gang,ɡæŋ,ɡ æ ŋ,,,56,,,,ɡ æ ŋ - ( - - )
Dutch-108_gangaz-1,,Dutch,108_gangaz,gang,xɑŋ,x ɑ ŋ,,,56,,,,x ɑ ŋ - ( - - )
ProtoGermanic-73_faranan-1,,ProtoGermanic,73_faranan,*faranan,faranan,f a r a n a n,,,57,,,,f a r a n ( a n )
German-73_faranan-1,,German,73_faranan,fahren,faːrən,f aː r ə n,,,57,,,,f aː r ə n ( - - )
English-73_faranan-1,,English,73_faranan,fare,fɛər,f ɛə r,,,57,,,,f ɛə r - - ( - - )
Dutch-73_faranan-1,,Dutch,73_faranan,varen,vaːrə,v aː r ə,,,57,,,,v aː r ə - ( - - )
ProtoGermanic-362_swerdan-1,,ProtoGermanic,362_swerdan,*swerdan,swerdan,s w e r d a n,,,58,,,,s w e r d ( a n )
German-362_swerdan-1,,German,362_swerdan,Schwert,ʃveːrt,ʃ v eː r t,,,58,,,,ʃ v eː r t ( - - )
English-362_swerdan-1,,English,362_swerdan,sword,sɔːd,s ɔː d,,,58,,,,s - ɔː - d ( - - )
Dutch-362_swerdan-1,,Dutch,362_swerdan,zwaard,zʋaːrt,z ʋ aː r t,,,58,,,,z ʋ aː r t ( - - )
ProtoGermanic-169_libro-1,,ProtoGermanic,169_libro,*librō,libroː,l i b r oː,,,59,,,,l i b - r ( oː )
German-169_libro-1,,German,169_libro,Leber,leːbər,l eː b ə r,,,59,,,,l eː b ə r ( - )
English-169_libro-1,,English,169_libro,liver,lɪvər,l ɪ v ə r,,,59,,,,l ɪ v ə r ( - )
Dutch-169_libro-1,,Dutch,169_libro,lever,leːvər,l eː v ə r,,,59,,,,l eː v ə r ( - )
ProtoGermanic-412_weljon-1,,ProtoGermanic,412_weljon,*weljōn,weljoːn,w e l j oː n,,,60,,,,w e l j oː ( n )
